Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	0	0	0
R05_C12W1_2	0	0	0
P21502_101_C12W1_1*	0	0	0
P21502_101_C12W1_2	2	0	2
P21502_102_C12W1_1	3	0	3
P21502_102_C12W1_2	0	0	0
P21502_103_C12W1_1	0	0	0
P21502_103_C12W1_2**	3	3	0
P21502_104_C12W1_1	0	0	0
P21502_104_C12W1_2	0	0	0
P21502_105_C12W1_1	0	0	0
P21502_105_C12W1_2	0	0	0
P21502_106_C12W1_1	0	0	0
P21502_106_C12W1_2	3	1	2
P21502_108_C12W1_1*	1	1	0
P21502_108_C12W1_2	0	0	0
P21502_109_C12W1_1	0	0	0
P21502_109_C12W1_2	0	0	0
P21502_111_C12W1_1	2	0	2
P21502_111_C12W1_2	0	0	0
P21502_112_C12W1_1	0	0	0
P21502_112_C12W1_2**	3	3	0
P21502_113_C12W1_1	9	2	7
P21502_113_C12W1_2	0	0	0
P21502_114_C12W1_1	0	0	0
P21502_114_C12W1_2	0	0	0
P21502_116_C12W1_1*	0	0	0
P21502_116_C12W1_2	0	0	0
P21502_117_C12W1_1	0	0	0
P21502_117_C12W1_2	0	0	0
P21502_118_C12W1_1	0	0	0
P21502_118_C12W1_2	0	0	0
P21502_119_C12W1_1	0	0	0
P21502_119_C12W1_2	1	1	0
P21502_119_C12W1_3	1	0	1
P21502_120_C12W1_1	0	0	0
P21502_120_C12W1_2	0	0	0
P21502_121_C12W1_1	0	0	0
P21502_121_C12W1_2**	0	0	0
P21502_122_C12W1_1	0	0	0
P21502_122_C12W1_2	0	0	0
P21502_123_C12W1_1	0	0	0
P21502_123_C12W1_2	2	1	1
P21502_124_C12W1_1	0	0	0
P21502_124_C12W1_2	0	0	0
P21502_125_C12W1_1	1	0	1
P21502_125_C12W1_2	0	0	0
P21502_126_C12W1_1	2	0	2
P21502_126_C12W1_2	0	0	0
P21502_127_C12W1_1*	5427	2417	3010
P21502_127_C12W1_2	0	0	0
P21502_128_C12W1_1	0	0	0
P21502_128_C12W1_2	0	0	0
P21502_107_C12W1_1*	0	0	0
P21502_107_C12W1_2	0	0	0
P21502_110_C12W1_1	0	0	0
P21502_110_C12W1_2**	0	0	0
P21502_129_C12W1_1	9	5	4
P21502_129_C12W1_2	2	2	0
P21502_130_C12W1_1	3877	1715	2162
P21502_130_C12W1_2	887	391	496
P21502_131_C12W1_1	3	2	1
P21502_131_C12W1_2	4	4	0
P21502_132_C12W1_1	195	78	117
P21502_132_C12W1_2	72	33	39
P21502_133_C12W1_1	0	0	0
P21502_133_C12W1_2	3	0	3
P21502_134_C12W1_1	147	65	82
P21502_134_C12W1_2	23	8	15
P21502_135_C12W1_1	18	8	10
P21502_135_C12W1_2	0	0	0
P21502_136_C12W1_1	5	4	1
P21502_136_C12W1_2**	3	3	0
P21502_137_C12W1_1	288	130	158
P21502_137_C12W1_2	225	108	117
P21502_138_C12W1_1	14	7	7
P21502_138_C12W1_2	9	5	4
P21502_139_C12W1_1	12	3	9
P21502_139_C12W1_2	7	4	3
P21502_140_C12W1_1	3491	1560	1931
P21502_140_C12W1_2	3319	1369	1950
P21502_141_C12W1_1	1	0	1
P21502_141_C12W1_2	6	4	2
P21502_141_C12W1_3	6	5	1
P21502_142_C12W1_1	6395	2847	3548
P21502_142_C12W1_2*	5427	2417	3010
P21502_143_C12W1_1	0	0	0
P21502_143_C12W1_2	0	0	0
P21502_144_C12W1_1	0	0	0
P21502_144_C12W1_2	0	0	0
P21502_145_C12W1_1	5	2	3
P21502_145_C12W1_2*	0	0	0
P21502_146_C12W1_1	6	3	3
P21502_146_C12W1_2	3	1	2
P21502_147_C12W1_1*	1	1	0
P21502_147_C12W1_2	1	1	0
P21502_148_C12W1_1	112	45	67
P21502_148_C12W1_2	50	21	29
P21502_149_C12W1_1	6	2	4
P21502_149_C12W1_2	0	0	0
P21502_150_C12W1_1	0	0	0
P21502_150_C12W1_2	0	0	0
P21502_151_C12W1_1	11	4	7
P21502_151_C12W1_2	12	8	4
P21502_152_C12W1_1**	0	0	0
P21502_152_C12W1_2	0	0	0
P21502_153_C12W1_1	0	0	0
P21502_153_C12W1_2	0	0	0
P21502_154_C12W1_1	131	60	71
P21502_154_C12W1_2	91	42	49
P21502_155_C12W1_1	0	0	0
P21502_155_C12W1_2	0	0	0
P21502_156_C12W1_1	0	0	0
P21502_156_C12W1_2	0	0	0
Unknown1_VGx_C12W1_1	167	83	84
Unknown1_VGx_C12W1_2	108	45	63
Unknown1_VGy_C12W1_1	7	4	3
Unknown1_VGy_C12W1_2	11	2	9
